Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Name,Adjusted_Date,open_next_day,open_close_diff,close_next_open_diff,open_next_open_diff,Label
2024-12-02 00:00:00+05:30,2049.5,2082.550048828125,2043.699951171875,2069.550048828125,633362,0.0,0.0,LUPIN.NS,2024-12-02,2086.60009765625,20.050048828125,17.050048828125,37.10009765625,1
2024-12-03 00:00:00+05:30,2086.60009765625,2092.800048828125,2068.60009765625,2081.64990234375,824015,0.0,0.0,LUPIN.NS,2024-12-03,2084.949951171875,-4.9501953125,3.300048828125,-1.650146484375,1
2024-12-04 00:00:00+05:30,2084.949951171875,2110.949951171875,2061.35009765625,2101.64990234375,1114148,0.0,0.0,LUPIN.NS,2024-12-04,2114.800048828125,16.699951171875,13.150146484375,29.85009765625,1
2024-12-05 00:00:00+05:30,2114.800048828125,2130.949951171875,2065.5,2125.050048828125,842359,0.0,0.0,LUPIN.NS,2024-12-05,2134.5,10.25,9.449951171875,19.699951171875,1
2024-12-06 00:00:00+05:30,2134.5,2141.85009765625,2120.449951171875,2133.550048828125,626159,0.0,0.0,LUPIN.NS,2024-12-06,2136.0,-0.949951171875,2.449951171875,1.5,1
2024-12-09 00:00:00+05:30,2136.0,2142.0,2097.449951171875,2104.699951171875,599944,0.0,0.0,LUPIN.NS,2024-12-09,2111.10009765625,-31.300048828125,6.400146484375,-24.89990234375,1
2024-12-10 00:00:00+05:30,2111.10009765625,2144.5,2105.25,2134.050048828125,942624,0.0,0.0,LUPIN.NS,2024-12-10,2134.89990234375,22.949951171875,0.849853515625,23.7998046875,1
2024-12-11 00:00:00+05:30,2134.89990234375,2161.85009765625,2128.699951171875,2150.39990234375,531244,0.0,0.0,LUPIN.NS,2024-12-11,2159.25,15.5,8.85009765625,24.35009765625,1
2024-12-12 00:00:00+05:30,2159.25,2159.25,2110.60009765625,2119.85009765625,652699,0.0,0.0,LUPIN.NS,2024-12-12,2102.0,-39.39990234375,-17.85009765625,-57.25,-1
2024-12-13 00:00:00+05:30,2102.0,2112.0,2041.0,2076.75,487069,0.0,0.0,LUPIN.NS,2024-12-13,2089.89990234375,-25.25,13.14990234375,-12.10009765625,1
